words,pos,dfns
poison,noun, Chemistry. to destroy or diminish the activity of (a catalyst or enzyme).
poison,noun, causing poisoning; poisonous:
poisonous,adjective, full of or containing poison:
poisonous,adjective, harmful; destructive:
poisonous,adjective, deeply malicious; malevolent:
police,noun," Also called  police force. an organized civil force for maintaining order, preventing and detecting crime, and enforcing the laws."
police,noun, (used with a plural verb) members of such a force:
police,noun," the regulation and control of a community, especially for the maintenance of public order, safety, health, morals, etc."
police,noun," the department of the government concerned with this, especially with the maintenance of order."
police,noun," any body of people officially maintained or employed to keep order, enforce regulations, etc."
police,noun," people who seek to regulate a specified activity, practice, etc.:"
police,noun, Military. (in the U.S. Army)
police,noun," to regulate, control, or keep in order by or as if by means of police."
police,noun," Military. to clean and keep clean (a camp, post, etc.)"
policeman,noun, a member of a police force or body.
policeman,noun, Ice Hockey. enforcer ( def 4 ).
policy,noun," a definite course of action adopted for the sake of expediency, facility, etc.:"
policy,noun," a course of action adopted and pursued by a government, ruler, political party, etc.:"
policy,noun, action or procedure conforming to or considered with reference to prudence or expediency:
policy,noun, prudence or expediency; shrewdness:
policy,noun, Rare. government; polity.
policy,noun, a document embodying a contract of insurance.
policy,noun, a method of gambling in which bets are made on numbers to be drawn by lottery.
policy,noun, numbers pool ( def 2 ).
polite,adjective," showing good manners toward others, as in behavior, speech, etc.; courteous; civil:"
polite,adjective, refined or cultured:
polite,adjective, of a refined or elegant kind:
political,adjective," of, relating to, or concerned with politics:"
political,adjective," of, relating to, or connected with a political party:"
political,adjective," exercising or seeking power in the governmental or public affairs of a state, municipality, etc.:"
political,adjective," of, relating to, or involving the state or its government:"
political,adjective, having a definite policy or system of government:
political,adjective, of or relating to citizens:
politician,noun, a person who is active in party politics.
politician,noun," a seeker or holder of public office, who is more concerned about winning favor or retaining power than about maintaining principles."
politician,noun, a person who holds a political office.
politician,noun, a person skilled in political government or administration; statesman or stateswoman.
politician,noun, an expert in politics or political government.
politician,noun, a person who seeks to gain power or advancement within an organization in ways that are generally disapproved.
politics,noun, the science or art of political government.
politics,noun, the practice or profession of conducting political affairs.
politics,noun, political affairs:
politics,noun, political methods or maneuvers:
politics,noun, political principles or opinions:
politics,noun," use of intrigue or strategy in obtaining any position of power or control, as in business, university, etc."
politics,noun," (initial capital letter, italics) a treatise (4th century b.c.) by Aristotle, dealing with the structure, organization, and administration of the state, especially the city-state as known in ancient Greece."
pollution,noun, the act of polluting or the state of being polluted. polluted.
pollution,noun, the introduction of harmful substances or products into the environment:
pool,noun, a small body of standing water; pond.
pool,noun," a still, deep place in a stream."
pool,noun, any small collection of liquid on a surface:
pool,noun, a puddle.
pool,noun, swimming pool.
pool,noun, a subterranean accumulation of oil or gas held in porous and permeable sedimentary rock reservoir.
pool,noun, to form a pool.
pool,noun, (of blood) to accumulate in a body part or organ.
pool,noun, to cause pools to form in.
pool,noun, to cause (blood) to form pools.
pool,noun, of or for a pool:
pool,noun, taking place or occurring around or near a pool:
pool,noun," Also called  pocket billiards.  any of various games played on a pool table with a cue ball and 15 other balls that are usually numbered, in which the object is to drive all the balls into the pockets with the cue ball. Compare billiards ( def )."
pool,noun," the total amount staked by a combination of bettors, as on a race, to be awarded to the successful bettor or bettors."
pool,noun, the combination of such bettors.
pool,noun," an association of competitors who agree to control the production, market, and price of a commodity for mutual benefit, although they appear to be rivals."
pool,noun, Finance. a combination of persons or organizations for the purpose of manipulating the prices of securities.
pool,noun," a combination of resources, funds, etc., for common advantage."
pool,noun, the combined interests or funds.
pool,noun," a facility, resource, or service that is shared by a group of people:"
pool,noun, the persons or parties involved.
pool,noun, the stakes in certain games.
pool,noun, British. a billiard game.
pool,noun, Fencing. a match in which each teammate successively plays against each member of the opposing team.
pool,noun," to put (resources, money, etc.) into a pool, or common stock or fund, as for a financial venture, according to agreement."
pool,noun, to form a pool of.
pool,noun, to make a common interest of.
pool,noun, to enter into or form a pool.
pool,noun, of or belonging to a pool:
poor,adjective," having little or no money, goods, or other means of support:"
poor,adjective, Law. dependent upon charity or public support.
poor,adjective," (of a country, institution, etc.) meagerly supplied or endowed with resources or funds."
poor,adjective, characterized by or showing poverty.
poor,adjective, deficient or lacking in something specified:
poor,adjective," faulty or inferior, as in construction:"
poor,adjective, (of land or soil) lacking abundance or productivity:
poor,adjective," excessively lean or emaciated, as cattle."
poor,adjective," of an inferior, inadequate, or unsatisfactory kind:"
poor,adjective," lacking in skill, ability, or training:"
poor,adjective," deficient in moral excellence; cowardly, abject, or mean."
poor,adjective," scanty, meager, or paltry in amount or number:"
